Wvl_nm	Ref_228K	a0	a1
771	2.56760E-22	-0.1755	0
772	2.62580E-22	-0.16617	0
773	2.71910E-22	-0.14545	0
774	2.83230E-22	-0.1253	0
775	2.96860E-22	-0.099708	0
776	3.08980E-22	-0.080696	0
777	3.20510E-22	-0.058786	0
778	3.29560E-22	-0.042269	0
779	3.32650E-22	-0.036473	0
780	3.29680E-22	-0.045365	0
781	3.23020E-22	-0.03503	0
782	3.06740E-22	-0.064953	0
783	2.89280E-22	-0.093554	0
784	2.73920E-22	-0.11854	0
785	2.56590E-22	-0.15047	0
786	2.41380E-22	-0.18011	0
787	2.29910E-22	-0.19664	0
788	2.18960E-22	-0.20258	0
789	2.10170E-22	-0.18622	0
790	2.02010E-22	-0.18545	0
791	1.93010E-22	-0.21374	0
792	1.86070E-22	-0.22144	0
793	1.77980E-22	-0.23525	0
794	1.70980E-22	-0.24298	0
795	1.65770E-22	-0.24802	0
796	1.61390E-22	-0.24038	0
797	1.57380E-22	-0.24785	0
798	1.55090E-22	-0.23588	0
799	1.52130E-22	-0.24642	0
800	1.49650E-22	-0.25879	0
801	1.47680E-22	-0.26178	0
802	1.46880E-22	-0.25086	0
803	1.46260E-22	-0.25366	0
804	1.46370E-22	-0.25484	0
805	1.48690E-22	-0.22536	0
806	1.52830E-22	-0.20037	0
807	1.59100E-22	-0.17386	0
808	1.68060E-22	-0.13373	0
809	1.76940E-22	-0.11527	0
810	1.85680E-22	-0.091159	0
811	1.95660E-22	-0.073249	0
812	2.05670E-22	-0.056446	0
813	2.15090E-22	-0.039456	0
814	2.23760E-22	-0.024288	0
815	2.29370E-22	-0.012606	0
816	2.33370E-22	-0.0011568	0
817	2.33510E-22	-0.00086296	0
818	2.29380E-22	-0.006376	0
819	2.21640E-22	-0.024367	0
820	2.10170E-22	-0.05268	0
821	1.97170E-22	-0.070294	0
822	1.81620E-22	-0.11105	0
823	1.65690E-22	-0.13744	0
824	1.51040E-22	-0.23572	0
825	1.38250E-22	-0.2757	0
826	1.26050E-22	-0.28515	0
827	1.14540E-22	-0.32655	0
828	1.05980E-22	-0.31962	0
829	9.84110E-23	-0.36895	0
830	9.10970E-23	-0.42694	0
831	8.56740E-23	-0.43692	0
832	8.15000E-23	-0.42694	0
833	7.85720E-23	-0.40159	0
834	7.58920E-23	-0.39005	0
835	7.45660E-23	-0.36238	0
836	7.26410E-23	-0.41242	0
837	7.24590E-23	-0.37071	0
838	7.20260E-23	-0.38149	0
839	7.19730E-23	-0.38271	0
840	7.28710E-23	-0.35999	0
841	7.45600E-23	-0.29925	0
842	7.66570E-23	-0.27454	0
843	7.81240E-23	-0.30982	0
844	8.15580E-23	-0.26539	0
845	8.50540E-23	-0.24388	0
846	8.96200E-23	-0.2191	0
847	9.58160E-23	-0.16444	0
848	1.03520E-22	-0.12488	0
849	1.12950E-22	-0.089221	0
850	1.24160E-22	-0.052424	0
851	1.39210E-22	0.012067	0
852	1.50300E-22	0.024391	0
853	1.57200E-22	0.042863	0
854	1.56920E-22	0.032411	0
855	1.51780E-22	-0.011471	0
856	1.45110E-22	-0.044943	0
857	1.37810E-22	-0.076095	0
858	1.30650E-22	-0.10072	0
859	1.23870E-22	-0.092902	0
860	1.15230E-22	-0.11714	0
861	1.04780E-22	-0.19278	0
862	9.41800E-23	-0.2597	0
863	8.36300E-23	-0.33624	0
864	7.52660E-23	-0.39616	0
865	6.87490E-23	-0.40247	0
866	6.23500E-23	-0.45816	0
867	5.69670E-23	-0.48489	0
868	5.25520E-23	-0.51025	0
869	4.84130E-23	-0.54342	0
870	4.45690E-23	-0.57514	0
871	4.18980E-23	-0.59646	0
872	3.96040E-23	-0.63407	0
873	3.80630E-23	-0.61459	0
874	3.65390E-23	-0.63274	0
875	3.55130E-23	-0.63591	0
876	3.57490E-23	-0.5504	0
877	3.57060E-23	-0.52675	0
878	3.62300E-23	-0.50565	0
879	3.71210E-23	-0.45171	0
880	3.78670E-23	-0.44612	0
