wvl_nm	xsec_220K	a(T)
697	2.01510E-21	6.21E-24
698	1.35140E-21	8.21E-24
699	1.36100E-21	8.66E-24
700	1.91150E-21	1.02E-23
701	1.77520E-21	1.06E-23
702	1.97680E-21	1.18E-23
703	2.26990E-21	1.27E-23
704	3.46430E-21	9.86E-24
705	4.64400E-21	7.50E-24
706	4.41800E-21	7.32E-24
707	5.66150E-21	3.92E-24
708	4.18190E-21	6.99E-24
709	2.65540E-21	1.29E-23
710	3.22380E-21	1.35E-23
711	4.05460E-21	1.30E-23
712	3.79810E-21	1.22E-23
713	3.50870E-21	1.07E-23
714	3.24660E-21	8.15E-24
715	2.39090E-21	7.87E-24
716	1.65980E-21	9.76E-24
717	1.46930E-21	8.64E-24
718	1.30770E-21	8.21E-24
719	1.12430E-21	8.22E-24
720	1.14400E-21	7.94E-24
721	1.40220E-21	7.38E-24
722	1.64170E-21	7.91E-24
723	1.74220E-21	7.59E-24
724	1.58030E-21	7.16E-24
725	1.14420E-21	6.26E-24
726	8.67130E-22	5.12E-24
727	7.86530E-22	5.02E-24
728	7.70330E-22	5.21E-24
729	6.92110E-22	5.13E-24
730	7.07680E-22	4.82E-24
731	7.25790E-22	4.46E-24
732	7.93890E-22	4.39E-24
733	7.45020E-22	4.86E-24
734	1.06070E-21	5.36E-24
735	1.35760E-21	3.89E-24
736	1.16970E-21	3.84E-24
737	1.15670E-21	4.10E-24
738	1.07120E-21	3.64E-24
739	1.35880E-21	3.55E-24
740	1.22150E-21	4.00E-24
741	1.05990E-21	4.77E-24
742	9.34860E-22	4.98E-24
743	1.30600E-21	6.35E-24
744	1.85030E-21	5.51E-24
745	2.79260E-21	4.00E-24
746	3.33570E-21	5.96E-25
747	1.86590E-21	5.66E-24
748	1.02620E-21	4.88E-24
749	9.70220E-22	4.07E-24
750	1.03890E-21	5.00E-24
751	1.11640E-21	6.68E-24
752	1.17270E-21	6.22E-24
753	1.12020E-21	6.38E-24
754	1.22640E-21	6.50E-24
755	1.18150E-21	5.05E-24
756	1.19090E-21	3.59E-24
757	1.00500E-21	3.12E-24
758	7.40490E-22	2.98E-24
759	6.40510E-22	2.31E-24
760	5.11890E-22	2.60E-24
761	4.52640E-22	2.72E-24
762	4.74890E-22	2.96E-24
763	5.37080E-22	3.52E-24
764	6.07490E-22	3.64E-24
765	6.78980E-22	3.69E-24
766	6.60450E-22	3.36E-24
767	6.48340E-22	1.86E-24
768	5.72300E-22	1.40E-24
769	4.94160E-22	1.20E-24
770	4.05510E-22	1.29E-24
771	3.76870E-22	1.42E-24
772	3.76880E-22	1.26E-24
773	3.84030E-22	1.37E-24
774	3.95370E-22	1.58E-24
775	4.00250E-22	1.69E-24
776	4.33990E-22	1.82E-24
777	4.80490E-22	2.45E-24
778	5.24630E-22	2.56E-24
779	5.45030E-22	2.21E-24
780	5.33930E-22	2.19E-24
781	5.30920E-22	1.94E-24
782	5.32120E-22	2.13E-24
783	6.04380E-22	1.69E-24
784	5.96270E-22	1.79E-24
785	7.64380E-22	1.02E-24
786	7.02270E-22	1.17E-24
787	6.01980E-22	2.32E-24
788	7.95170E-22	2.72E-24
789	9.62890E-22	3.10E-24
790	1.19010E-21	3.44E-24
791	1.17445E-21	0
792	8.11668E-22	0
793	7.28442E-22	0
794	6.42143E-22	0
795	5.33621E-22	0
796	5.29831E-22	0
797	5.42958E-22	0
798	5.74010E-22	0
799	6.06590E-22	0
800	6.22666E-22	0
801	6.37845E-22	0
802	6.66884E-22	0
803	6.43118E-22	0
804	5.87722E-22	0
805	4.84021E-22	0
806	4.57306E-22	0
807	4.60996E-22	0
808	4.58390E-22	0
809	4.90035E-22	0
810	4.79045E-22	0
811	4.84583E-22	0
812	5.03662E-22	0
813	5.16399E-22	0
814	5.38434E-22	0
815	5.20751E-22	0
816	4.97414E-22	0
817	4.53851E-22	0
818	4.40318E-22	0
819	4.38766E-22	0
820	4.19242E-22	0
821	4.36652E-22	0
822	4.28407E-22	0
823	4.34561E-22	0
824	4.48305E-22	0
825	4.66276E-22	0
826	4.70816E-22	0
827	4.71689E-22	0
828	4.65660E-22	0
829	4.52205E-22	0
830	4.51745E-22	0
831	4.52899E-22	0
832	4.60528E-22	0
833	4.73140E-22	0
834	5.18981E-22	0
835	5.30353E-22	0
836	6.08213E-22	0
837	4.12597E-22	0
838	4.34944E-22	0
839	4.44998E-22	0
840	4.76330E-22	0
841	4.59880E-22	0
842	4.34546E-22	0
843	4.54483E-22	0
844	4.41527E-22	0
845	4.29148E-22	0
846	3.63051E-22	0
847	3.15260E-22	0
848	2.97445E-22	0
849	2.99060E-22	0
850	2.87680E-22	0
851	2.83054E-22	0
852	2.76861E-22	0
853	2.89380E-22	0
854	2.86673E-22	0
855	3.01907E-22	0
856	2.78889E-22	0
857	2.29320E-22	0
858	2.13751E-22	0
859	2.11536E-22	0
860	1.95952E-22	0
861	1.92465E-22	0
862	1.89821E-22	0
863	1.86911E-22	0
864	1.80570E-22	0
865	1.80118E-22	0
866	1.74806E-22	0
867	1.70921E-22	0
868	1.67505E-22	0
869	1.63823E-22	0
870	1.59167E-22	0
871	1.47545E-22	0
872	1.42241E-22	0
873	1.38325E-22	0
874	1.34378E-22	0
875	1.32631E-22	0
876	1.26290E-22	0
877	1.23677E-22	0
878	1.23318E-22	0
879	1.25128E-22	0
880	1.20354E-22	0
881	1.16953E-22	0
882	1.12616E-22	0
883	1.06610E-22	0
884	1.04949E-22	0
885	1.05908E-22	0
886	1.06400E-22	0
887	1.09161E-22	0
888	1.09715E-22	0
889	1.13006E-22	0
890	1.28450E-22	0
891	1.34324E-22	0
892	1.68043E-22	0
893	9.09168E-23	0
894	8.33430E-23	0
895	8.15256E-23	0
896	8.53866E-23	0
897	8.83506E-23	0
898	8.95596E-23	0
899	9.43176E-23	0
900	1.01361E-22	0
