Wavelength Global Beam Diffuse Ground
.5210E+03 .1547E+01 .1345E+01 .2175E+00 .2172E+00
.5220E+03 .1582E+01 .1376E+01 .2212E+00 .2182E+00
.5230E+03 .1491E+01 .1298E+01 .2075E+00 .2193E+00
.5240E+03 .1604E+01 .1396E+01 .2219E+00 .2206E+00
.5250E+03 .1591E+01 .1386E+01 .2190E+00 .2219E+00
.5260E+03 .1546E+01 .1348E+01 .2117E+00 .2230E+00
.5270E+03 .1352E+01 .1180E+01 .1841E+00 .2236E+00
.5280E+03 .1548E+01 .1351E+01 .2095E+00 .2241E+00
.5290E+03 .1620E+01 .1414E+01 .2181E+00 .2254E+00
.5300E+03 .1557E+01 .1360E+01 .2086E+00 .2268E+00
.5310E+03 .1642E+01 .1435E+01 .2189E+00 .2281E+00
.5320E+03 .1612E+01 .1409E+01 .2139E+00 .2291E+00
.5330E+03 .1440E+01 .1259E+01 .1901E+00 .2301E+00
.5340E+03 .1542E+01 .1349E+01 .2026E+00 .2310E+00
.5350E+03 .1565E+01 .1370E+01 .2048E+00 .2319E+00
.5360E+03 .1632E+01 .1429E+01 .2126E+00 .2326E+00
.5370E+03 .1510E+01 .1323E+01 .1958E+00 .2331E+00
.5380E+03 .1586E+01 .1390E+01 .2046E+00 .2335E+00
.5390E+03 .1547E+01 .1356E+01 .1987E+00 .2351E+00
.5400E+03 .1493E+01 .1310E+01 .1910E+00 .2365E+00
.5410E+03 .1436E+01 .1260E+01 .1826E+00 .2374E+00
.5420E+03 .1562E+01 .1371E+01 .1977E+00 .2378E+00
.5430E+03 .1537E+01 .1349E+01 .1936E+00 .2385E+00
.5440E+03 .1591E+01 .1397E+01 .1995E+00 .2405E+00
.5450E+03 .1554E+01 .1366E+01 .1942E+00 .2425E+00
.5460E+03 .1540E+01 .1354E+01 .1914E+00 .2433E+00
.5470E+03 .1560E+01 .1372E+01 .1929E+00 .2438E+00
.5480E+03 .1515E+01 .1333E+01 .1866E+00 .2444E+00
.5490E+03 .1563E+01 .1375E+01 .1916E+00 .2453E+00
.5500E+03 .1550E+01 .1365E+01 .1893E+00 .2463E+00
.5510E+03 .1549E+01 .1364E+01 .1882E+00 .2469E+00
.5520E+03 .1580E+01 .1392E+01 .1911E+00 .2474E+00
.5530E+03 .1535E+01 .1353E+01 .1847E+00 .2481E+00
.5540E+03 .1565E+01 .1380E+01 .1875E+00 .2490E+00
.5550E+03 .1574E+01 .1388E+01 .1876E+00 .2500E+00
